Famille;Nuance;Numéro;Indice prix tonne;prix min;Indice prix ;prix max;prix réel 2018;prix estimé 2018;dernier prix connu;date d'application du dernier prix;taux d'inflation;prix min internet;prix max internet;incertitude prix ;Usinabilité;% outillage;Dureté en Hb;Rm en Mpa;Rp0.2 en Mpa;A%;Aptitude à la soudure;Traitement thermique;Aptitude au traitement thermique;Résistance à la corrosion;C;Si;Mn;P;S;N;Cr;Mo;Ni;Pb;B;V;Ceq;
Aciers d'usage général;S235JRG2C;1.0122;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;50;5%;121;405;260;10;1;-;3;n/a;0,085;0;0,7;0,0225;0,0225;0,0045;0;0;0;0;0;0;0,20;
;E295GC;1.0533;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;50;5%;160,5;540;320;8;1;-;3;n/a;0;0;0;0,0225;0,0225;0,0045;0;0;0;0;0;0;0,00;
;E335GC;1.0543;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;50;5%;190;640;390;7;1;-;3;n/a;0;0;0;0,0225;0,0225;0,0045;0;0;0;0;0;0;0,00;
;S335J2G3C;1.0569;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;50;5%;166,5;560;350;8;1;-;3;n/a;0,1;0,275;0,8;0,0175;0,0175;0;0;0;0;0;0;0;0,23;
;C10;1.0301;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;50;5%;127,5;430;250;10;1;cémentation;2;n/a;0,1;0,2;0,45;0,0225;0,0225;0;0;0;0;0;0;0;0,175;
;C15;1.0401;;500,00;750,00;1000,00;n/a;750,00;;;;500;1000;33%;57;5%;138;465;280;9;1;cémentation;2;n/a;0,15;0,2;0,55;0,0225;0,0225;0;0;0;0;0;0;0;0,24;
;C16;1.0407;;950,00;1024,87;1099,74;n/a;1024,87;950;01/07/2015;5%;;;7%;57;5%;144,5;485;300;9;1;cémentation;2;n/a;0,15;0,2;0,75;0,0225;0,0225;0;0;0;0;0;0;0;0,28;
;C35;1.0501;;-;-;-;-;-;;;;;;-;50;5%;180,5;610;320;8;2;Trempe + revenu;1;n/a;0,355;0,2;0,65;0,0225;0,0225;0;0,2;0,05;0,2;0;0;0;0,53;
;C40;1.0511;;978,00;978,00;978,00;978,00;978,00;978;01/07/2018;;;;0%;47;5%;187;630;365;8;2;Trempe + revenu;1;n/a;0,405;0,2;0,65;0,0225;0,0225;0;0,2;0,05;0,2;0;0;0;0,58;
;C45;1.0503;;1060,00;1060,00;1060,00;1060,00;1060,00;1060;01/07/2018;;;;0%;45;5%;207;700;410;7;2;Trempe + revenu;1;n/a;0,46;0,2;0,65;0,0225;0,0225;0;0,2;0,05;0,2;0;0;0;0,63;
;C50;1.0540;;-;-;-;-;-;;;;;;-;42;5%;225;760;440;7;2;Trempe + revenu;1;n/a;0,51;0,2;0,75;0,0225;0,0225;0;0,2;0,05;0,2;0;0;0;0,70;
;C60;1.0601;;-;-;-;-;-;;;;;;-;41;5%;238;805;480;6;3;Trempe + revenu;1;n/a;0,61;0,2;0,75;0,0225;0,0225;0;0,2;0,05;0,2;0;0;0;0,80;
Acier de décolletage;11SMn30;1.0715;;770,00;770,00;770,00;770,00;770,00;770;01/07/2018;;;;0%;100;5%;169;510;440;6;1;Carbonitruration;2;n/a;0,07;0,025;1,1;0,055;0,3;0;0;0;0;0;0;0;0,25;
;11SMnPb30;1.0718;;950,00;950,00;950,00;950,00;950,00;950;01/07/2018;;;;0%;115;5%;169;490;410;7;1;Carbonitruration;2;n/a;0,07;0,025;1,1;0,055;0,3;0;0;0;0;0,275;0;0;0,25;
;11SMn37;1.0736;;920,00;920,00;920,00;920,00;920,00;920;01/07/2018;;;;0%;110;5%;169;460;375;8;1;Carbonitruration;2;n/a;0,07;0,025;1,25;0,055;0,37;0;0;0;0;0;0;0;0,28;
